[9/23/2015 8:57:24 AM] Connection to station PBAY could not be established.
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY039h.m00 varsam[8].Substring(4, 3)): 039 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY039i.m00 varsam[8].Substring(4, 3)): 039 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY039j.m00 varsam[8].Substring(4, 3)): 039 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY039k.m00 varsam[8].Substring(4, 3)): 039 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY039l.m00 varsam[8].Substring(4, 3)): 039 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY039m.m00 varsam[8].Substring(4, 3)): 039 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY039n.m00 varsam[8].Substring(4, 3)): 039 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY039o.m00 varsam[8].Substring(4, 3)): 039 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY039p.m00 varsam[8].Substring(4, 3)): 039 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY039q.m00 varsam[8].Substring(4, 3)): 039 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY039r.m00 varsam[8].Substring(4, 3)): 039 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY039s.m00 varsam[8].Substring(4, 3)): 039 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY039t.m00 varsam[8].Substring(4, 3)): 039 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY039u.m00 varsam[8].Substring(4, 3)): 039 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY041a.m21 varsam[8].Substring(4, 3)): 041 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY041b.m00 varsam[8].Substring(4, 3)): 041 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY041c.m00 varsam[8].Substring(4, 3)): 041 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY041d.m00 varsam[8].Substring(4, 3)): 041 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY041e.m00 varsam[8].Substring(4, 3)): 041 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY041f.m00 varsam[8].Substring(4, 3)): 041 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY041g.m00 varsam[8].Substring(4, 3)): 041 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY041h.m00 varsam[8].Substring(4, 3)): 041 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY041i.m00 varsam[8].Substring(4, 3)): 041 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY041j.m00 varsam[8].Substring(4, 3)): 041 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY041k.m00 varsam[8].Substring(4, 3)): 041 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY041l.m00 varsam[8].Substring(4, 3)): 041 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY041m.m00 varsam[8].Substring(4, 3)): 041 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY041n.m00 varsam[8].Substring(4, 3)): 041 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY041o.m00 varsam[8].Substring(4, 3)): 041 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY041p.m00 varsam[8].Substring(4, 3)): 041 varsam[8].Substring(9, 1)):m
